Preguntas,Autores,Respuestas,Vistas
"$k(R(x),R(x+1)) = k(x)$ for a non-constant rational function $R(x)$",computational-complexity,0,1
How can I prove $\sigma(\Delta)=\sigma_{\mathrm{ess}}(\Delta)$?,integer-lattices,0,1
Generalized approximation for $\cos(ax)\\$ in the first and fourth quadrants [closed],np-complete,0,1
Proving that $\frac{\sin(t\theta)}{\sin(\theta)}\leq t$ for $t > 0$,geocalc33,2,6
Help me ask this confused question about the divergence of the harmonic series,abstract-algebra,0,9
How to solve this inequation? I dont know how to solve this problem [closed],field-theory,0,2
right objective for optimizing PSD matrix,orangeskid,0,8
Linear Optimization - Best algorithm?,functional-analysis,0,3
Find x and y for $11^x=5*2^y+1$,sobolev-spaces,0,6
Relationship between two functions in integral form,spectral-theory,0,3
Sum of Variance,laplacian,0,3
Coordinate system for the region between a circle and a square,MackeyTopology,0,1
Researchers in partial differential equations,trigonometry,0,2
Proving limits by definition [closed],approximation,0,1
Common Roots of Several Multivariate Polynomials with Integer Coefficients with an Additional Property: Their GCD is Linear when Some Variables Fixed,Phil Freedenberg,0,1
How to solve this limit involving the factorial function,real-analysis,0,5
Asymptotic Bound,trigonometry,0,3
Why do I get: $\cos((\frac1x)^4)\sin(x^6) = 0?$,Cartesian Bear,0,3
More examples of non-split algebraic groups,sequences-and-series,0,2
"Let $\pi:\mathcal{Y}\rightarrow \mathbb{C}$ be flat and with generic fiber $\mathbb{C}^*$, what variety could be the central fiber?",soft-question,0,1
question about proof of theorem of regularity,divergent-series,0,1
Series expansion for $\displaystyle{\psi(t+2)-\psi\left(\frac{t+3}{2}\right)}$,harmonic-numbers,0,1
Extremal problems for (non-convex) polygons on hexagonal lattices,MJD,0,5
Gaussian Elimination with linear combination solution,inequality,0,2
Transformations of probability distributions?,Chien Nguyen,0,2
Combinatorics Question on breakdown of boats [closed],optimization,0,2
"Is it possible to construct a precise regular pentagon with just a straightedge (no compass)? If yes, then how?",nonlinear-optimization,0,2
Pigeon-Hole Principle Problem: Several Visitors to a Mathematics Library,MRm,0,2
A singular average integral,optimization,0,1
"Let R be the region bounded by the graph of f(x) and the x -axis on the interval [a,b]. If f(x) is positive on the interval [a,b], then",muosac,0,2
How can I show this improper integral?,linear-algebra,0,3
The Legendre Conjecture,exponentiation,0,3
Operator equation $Ax-\lambda x=h$,Ionela Buciu,0,2
Area Calculation By definite integrals [closed],real-analysis,0,2
analyzing a particular function,integration,0,2
Projective module base change,functions,2,1
Disjoint union of topological space is subspace,definite-integrals,0,3
Reusing symbols in proof by cases,proof-writing,0,5
Mean value theorem trigo proof question,Cynicrom,0,6
Pose quadratic equation with matrix coefficients in eigenvalue form,calculus,0,4
Foliation of $S^3$ with Leaves $S^1$,mean-value-theorem,0,5
Memoryless property of exponentially distributed waiting times in two queues,Ofir Avisar,0,4
"Has Anyone Ever Heard Of The ""Weighted Median""?",linear-algebra,0,1
Invariant event of stationary processes,eigenvalues-eigenvectors,0,3
Spectrum of $A + s N$ constant in $s$ when?,matrix-equations,0,8
$\lim_{x\to \infty} \left(\int_0^x e^{t^2} dt\right)^{\frac 1 {x^2}}$,generalized-eigenvector,0,2
Extending Takeuti's proof of the completeness theorem to sentences with constants.,George,0,7
Is it possible to divide a 5x5 square into exactly eight 1x3 rectangular blocks and one 1x1 square block? [closed],differential-geometry,0,1
Motivation for Connections over smooth manifolds,differential-topology,0,8
Compare real analysis textbooks,smooth-manifolds,0,1
Morphisms to the constant adic space associate to a profinite set,foliations,0,6
Combinations of $n$ rocks from $m$ places,LiminalSpace,0,2
Quadrant of matrix inverse with special initialization,probability,0,5
Why is $\sqrt(-i^2) = 1 $ and not -1? [duplicate],probability-distributions,0,2
"Two questions about a proof on this site: show $\displaystyle\lim_{n\to\infty} \int_{0}^{\infty} \frac{x^{1/n}}{(1+\frac{x}{n})^{n}} \,dx = 1$.",exponential-distribution,0,2
What is the probability of seeing $7$ heads in the toss of $12$ coins?,Heng Wei,0,3
Neyman-Pearson Lemma clarification,probability,0,1
Is there a mistake in a GRE preparation book?,stats_noob,0,6
Fibonacci-esque sequences modulo $1$: what is the largest possible smallest element?,probability-theory,0,3
Proving $\overline{(x-\overline x)(y-\overline y)}=\overline{xy}-\overline x \cdot \overline y$,ergodic-theory,0,5
Which LAPACK routine should I use if I only want to compute the eigenvectors?,stationary-processes,0,1
Commutativity relation on forms,Shunan Sheng,0,4
"For $T\in L(V,W)$, prove that there are bases such that $M(T)$ is 1 on the first dim range $T$ elements of the diagonal and zero everywhere else.",linear-algebra,0,2
Existence of complete subgraphs of a complete graph,abstract-algebra,0,1
Show the Euclidian projection onto a closed set is a Lipschitz function,matrices,0,2
Continuity at a point doesn’t imply continuity at some small interval around it,orangeskid,0,5
does it exist a recurrence relation for all/some of the integer solutions of Diophantine ec: bXY=f?,real-analysis,0,1
Compute a series with a Fourier series,limits,0,2
Length of the GCD of two strings [duplicate],exponential-function,0,3
retractions of circle,Robert,0,2
Alternate method to solve the expected number of connected components,first-order-logic,0,1
Root representation using the factorization of polynomials upto degree six,proof-theory,0,2
Holonomy representation of complete connected hyperbolic surfaces up to conjugation,zaq,0,6
Induction strategy with mathematical symbols,puzzle,0,2
Are the n-tuples of constructible numbers a model for Euclidean Geometry?,tiling,0,1
Derivation of Complex Fourier Series coefficients through inner products (and swapping arugments),Dennis Yang,0,1
Proving that the projection map from Cartesian product is onto,derivatives,0,1
Bounds on the spectral radius of a directed graph,differential-geometry,0,1
Multiplication af natural numbers,euclidean-geometry,0,5
Expected value with unit cubes and random lines,vector-bundles,0,1
The ship is made of holes: what happens to the limit of a function when it has infinitely many continuous removable discontinuities?,connections,2,4
Sum of values across a line?,wood,0,4
Conditional probability question regarding health statistics,probability,0,1
"If $x:U\subset\mathbb{R}^2 \to S$ is a local map, then $U$ and $x(U)$ are diffeomorphic.",solution-verification,0,2
"How do I show $\displaystyle\lim_{n\to\infty} \int_{0}^{1} \frac{1+(n/2)x}{(1+x)^{n/2}} \,dx = 0$?",conditional-probability,0,5
What is the form of the gradient with respect to a complex matrix?,Numerical Disintegration,0,1
Typesetting in markdown for stylized y? [closed],differential-geometry,0,2
The Group of Bounded Permutations,diffeomorphism,0,3
Proof that the union of bounded set is bounded,Fabrizio Gambelín,0,4
Product of a transposition with any $k$-cycle,real-analysis,0,1
Is there a name for a morphism which makes a left inverse act like a two-sided inverse?,Mark,0,3
Can you provide feedback on my approach to proving that $\mathbb{N}×\mathbb{N}$ is denumerable?,complex-analysis,0,4
What are the necessary requirements to make this composite monad rewrite work?,gradient-descent,0,1
Algorithm to make every number in a set positive but keep the ratios between them?,Junho,0,3
Can $f([x])$ be continuous?,notation,0,4
How to get a 2D curve line when given a curvature,blueberryfields,0,1
Universal property of the order topology?,abstract-algebra,0,3
"Calculating $\mathbb E[X|X^2+Y^2]$ with $X,Y\overset{iid}{\sim}\mathcal N(0,1)$",group-theory,2,2
Reference Request for Schatten Class Operators being an ideal in the set of Bounded operators.,permutations,0,2
Block matrices rank inequality,symmetric-groups,2,2
What does the conjunction symbol ∧ mean with regards to stochastic processes and probability theory,Miles Gould,0,4
Proof of unique existence of composition arrow for internal homs in a Cartesian closed category.,metric-spaces,0,3
Who proved that $\pi(n) < 1.25506\frac{n}{ln(n)}$?,Emanuel Dias,2,6
Comparing Equating $\frac{dy}{dx}$ with Lagrangian Optimization,permutations,0,3
Density function train arrival problem,symmetric-groups,0,2
Open statements in first order logic,permutation-cycles,0,7
Is it possible to design a 4th dimensional circuit,ZeroTheHero,0,4
Recurrence relation for inverse log integral,category-theory,0,3
"If $f \in BV_{1/2}([0, 1])$ then $f \in BV([0, 1])$?",terminology,0,1
How to evaluate the indefinite the delta function?,inverse-function,0,3
Proof Verification of Question Regarding Compact Metric Spaces,general-topology,0,3
$\|u\|_{\infty}\leq C\|\Delta u\|_{L_2}+\|u\|_{L_2}$?,solution-verification,0,3
"If $B\subseteq\mathbb{Z}^+$, $B$ is infinite, and $m\in B$, can I introduce a variable $n$ that comes right before $m$? (since $B$ is countable)",metric-spaces,0,1
Borel canteli for not i.i.d r.v,compactness,0,3
shortest vector problem with lattice using Euclidean $L^2$ norm,Kenneth Winters,0,6
"$k(R(x),R(x+1)) = k(x)$ for a non-constant rational function $R(x)$",functional-analysis,0,1
How can I prove $\sigma(\Delta)=\sigma_{\mathrm{ess}}(\Delta)$?,sobolev-spaces,0,1
Generalized approximation for $\cos(ax)\\$ in the first and fourth quadrants [closed],MackeyTopology,2,1
Proving that $\frac{\sin(t\theta)}{\sin(\theta)}\leq t$ for $t > 0$,proof-writing,0,7
Help me ask this confused question about the divergence of the harmonic series,infinity,0,9
How to solve this inequation? I dont know how to solve this problem [closed],bobbyJames,0,2
right objective for optimizing PSD matrix,probability-theory,0,8
Linear Optimization - Best algorithm?,Oren Diskin,0,3
Find x and y for $11^x=5*2^y+1$,computer-science,0,6
Relationship between two functions in integral form,computational-complexity,0,3
Sum of Variance,integer-lattices,0,3
Coordinate system for the region between a circle and a square,np-complete,0,1
Researchers in partial differential equations,geocalc33,0,2
Proving limits by definition [closed],abstract-algebra,0,1
Common Roots of Several Multivariate Polynomials with Integer Coefficients with an Additional Property: Their GCD is Linear when Some Variables Fixed,field-theory,0,1
How to solve this limit involving the factorial function,orangeskid,0,6
Asymptotic Bound,functional-analysis,0,3
Why do I get: $\cos((\frac1x)^4)\sin(x^6) = 0?$,sobolev-spaces,0,3
More examples of non-split algebraic groups,spectral-theory,0,2
"Let $\pi:\mathcal{Y}\rightarrow \mathbb{C}$ be flat and with generic fiber $\mathbb{C}^*$, what variety could be the central fiber?",laplacian,0,1
question about proof of theorem of regularity,MackeyTopology,0,1
Series expansion for $\displaystyle{\psi(t+2)-\psi\left(\frac{t+3}{2}\right)}$,trigonometry,0,1
Extremal problems for (non-convex) polygons on hexagonal lattices,approximation,0,5
Gaussian Elimination with linear combination solution,Phil Freedenberg,0,2
Transformations of probability distributions?,real-analysis,0,2
Combinatorics Question on breakdown of boats [closed],trigonometry,0,3
"Is it possible to construct a precise regular pentagon with just a straightedge (no compass)? If yes, then how?",Cartesian Bear,0,2
Pigeon-Hole Principle Problem: Several Visitors to a Mathematics Library,sequences-and-series,0,2
A singular average integral,soft-question,0,1
"Let R be the region bounded by the graph of f(x) and the x -axis on the interval [a,b]. If f(x) is positive on the interval [a,b], then",divergent-series,0,2
How can I show this improper integral?,harmonic-numbers,0,3
The Legendre Conjecture,MJD,0,3
Operator equation $Ax-\lambda x=h$,inequality,0,2
Area Calculation By definite integrals [closed],Chien Nguyen,0,2
Is the statement about continuity of a linear function based on the closedness of its kernel always true?,functional-analysis,0,7
Geometry question involving angle bisectors and similar triangles.,fake-proofs,0,4
reduced suspension and intersection and union of subspaces.,Maths Wizzard,0,3
Examples: Relatively compact and compact,geometry,0,4
"Are there any formal set theories in which N, Z, Q, and R are subsets of each other?",euclidean-geometry,0,1
Linear Programming - Showing optimality in a specific example (Section 2 - Problem 9 - Saul I. Gass),triangles,0,3
Find the length of the line drawn at a given point which is parallel to the parallel bases of an isosceles trapezoid,acelixis,0,4
"Suppose that $f(0) = 0, \forall x \in (0, 1]: f(x) > 0$ and the right-hand derivative $f'_{+}(0)$ exists",algebraic-topology,0,9
Prove two right angled triangles with perpendicular sides have the same angles.,Candyblock,0,1
"""Decomposition"" of graphs",general-topology,0,6
Seeking help with a final expression as indicated in the problem.,examples-counterexamples,0,1
Why is the map from the kernel to the domain always a monomorphism?,CIELO_LB,0,1
Polynomial Growth Observed in a New Graph Coloring Algorithm: Insight or Oversight?,abstract-algebra,0,1
Finding the area bounded by some curves using change of variables and double integrals,set-theory,0,1
"Exercise 2.3.29 from Stroock's ""Probability Theory: an Analytic View""",SMMH,0,1
"Powers of the Dirac Delta ""Function""",convex-optimization,2,2
Defining a surjective function $f: S \to T$ where the set of preimage satisfy closure properties,linear-programming,0,1
Unclear formula in the book of linear model for classification in the Bishop book (machine learning),Proper Illumination,0,1
Approximating Fibonacci numbers,linear-algebra,0,3
Well ordered set similar to an ordinal is an ordinal?,trigonometry,0,2
average raised to n vs n! [closed],Rupesh Nath,0,2
Show that this class of subsets doesn't constitute a semi algebra,real-analysis,0,1
Transforming Decimal Numbers to a Specific Interval [closed],integration,0,9
Probability: Single coin flip vs. multiple coin flips,improper-integrals,0,2
"If $u$ is harmonic, $\exists \alpha,\beta \in \mathbb{R},\forall x\in \mathbb{R}^d,|u(x)| \leq \alpha |x|+\beta,$ then $u$ is affine",X4J,0,3
Why are infinite-dimensional vector spaces usually equipped with additional structure?,triangles,0,5
Implication of mean ergodic theorem,MOON,0,1
Proof of set theory equivalence,graph-theory,0,2
Show that $\sum_{k=0}^n\binom{n}{k}=2\sum_{k=0}^{[\frac{n-1}{2}]}\binom{n}{2k+1}i^{2k+1}$,eigenvalues-eigenvectors,0,3
Proper name of the class of generalized harmonic series,Nadav Banay,0,1
For which positive integers $m$ and $n$ do $x^m-x$ and $x^n-x$ being integers imply that $x$ is an integer,limits,0,4
A probability question around population percentages: Assume that the population contains 50% men and 50% women...,derivatives,0,1
"From the digits 0, 1, 2, ... 9 randomly choose three digits. What is the probability that these three digits can be used to write:",Shampy,2,6
What maps preserve and reflect basic Horn formulas?,functions,0,2
I need an analysis book that goes from basics to advanced through metric spaces and measure theory. [closed],category-theory,0,4
How to apply some sort of matrix transformation over an entire grid?,monomorphisms,0,1
Arithmetic meaning of certain periods of modular symbols of elliptic curves,node196884,0,1
Uniform convergence of the given series in the domain $\Bbb R$ [duplicate],graph-theory,2,9
"Is the locus of point $(h,k)$ every equation which satisfies it?",computational-complexity,0,2
Peculiar behavior of an infinite product of the function $\tan(x)$,trigonometry,0,4
Function with domain is the empty set [duplicate],infinite-product,0,3
Expected number of rolls to get streak of three increasing rolls,uggupuggu,0,3
Difficulty in understanding Permutation,elementary-set-theory,0,3
Maximise a set of non-continuous linear equations,InTheSearchForKnowledge,2,2
"To check whether $(G,*)$ is a group or not if $a_i*a_j=\begin{cases} a_{i+j}, i+j<7\\a_{i+j-7},i+j\geq7\end{cases}$ and $G=\{a_0,a_1,\dots,a_6\}$.",probability,0,5
What is the meaning of the following highlighted expression?,expected-value,0,2
"Determine the number of all rooted forests with a set of vertices $[n]$, where $n \geq 1$ (Cayley's formula?)",dice,2,1
Area bounded by a curve,idk31909310,0,3
What is norm of a continuous function?,combinatorics,0,3
What is the convex hull of nonconvex polytopes defined by mixed integer linear inequalities (with only binaries),permutations,2,1
Maximum of function of $n$ variables,combinations,0,6
Any advice on this calculus VTRMC 1984 problem? Does my graph seem right?,user1208889,0,2
Comparing coefficients gone wrong. How do we know it's allowed?,linear-programming,0,4
How to solve: $\int{\frac{r dr}{\sqrt{a r^2 + b r + c}}}$,OMATRIX,2,5
Prove that product of two locally connected spaces is locally connected. [duplicate],group-theory,0,2
Prove that $\int_X(f+g)\;d\mu=\int_Xf\;d\mu+\int_X g\;d\mu$ for an extended $\mu$-integrable function.,MAHI,0,4
Approximation problem using molifiers,tensors,0,3
"Let $\zeta_p$ be a primitive $p$-th root of unity, and $f\in\Bbb Z[X]$. If $|f(\zeta_p)|=1,$ is $f(\zeta_p)$ a root of unity?",regression,0,5
Free action of group such that the quotient prestack to be a presheaf,tensor-decomposition,0,1
Matrix with invariant subspace,Tsang Yiklouis,0,4
Higher-order 'clover functions' are not elliptic--how to see this?,discrete-mathematics,0,2
Why is $\sum_{k=0}^{n-1} (-1)^k a^{n-1-k}b^k = \left(\sum_{k=0}^{n-2} (-1)^k(k+1)a^{n-2-k}b^k\right)(a+b)+(-1)^{n-1}nb^{n-1}$?,trees,0,1
"Different sidewalks that can be laid using n $1 \times 1$ square white, blue and red tiles so that no two red tiles don't lie next to each other?",thefool,0,1
Convergence of the integration of three functions,calculus,0,3
Help understanding set-builder notation,integration,0,3
"Evaluating $\int\frac{\log(x+a)}{x}\,dx$ in terms of dilogarithms",area,0,2
Substituting and performing operations on differentials in integrals,user3.14,0,1
Counting lattice points in cross-sections of a polytope,functions,0,1
"A divisor $D$ that satisfies $D|_{U_i}=(f)$ on complements of prime divisors $Z_i=X-U_i$ is principle, and $D=(f)$.",Samyak Marathe,0,2
"Prove or refute: ""If a 3x3 matrix is orthogonal and has det 1, then $\lambda$ = 1 is an eigenvalue with algebraic multiplicity different from 2.""",convex-optimization,0,4
Odds on a 2 dice roll not happening [closed],convex-hulls,0,1
Brownian Motion's path [closed],mixed-integer-programming,0,1
Green´s function [closed],Ruihao Wang,0,1
Range of $(\sin(x))^\infty$,real-analysis,2,4
Correct approach on log(n+m+z)!,calculus,0,1
Is there an algebraic way of getting AB = I implies BA = I for finite nxn matrices? [duplicate],multivariable-calculus,0,3
Counting by changing signs in a $K \times K$ grid,linear-algebra,0,1
Simplifying summation with formula that does not contain any index,combinatorics,0,1
A phone number has seven digits and cannot begin with a 0. How many phone numbers contain the sequence 123?,matrices,0,9
how many different numbers can you make by multiplying two one-digit even numbers?,codeboy,0,2
Graphing with only positive integers,summation,0,2
Probability of dart hitting a point given that it hits a point in a finite set of points,notation,0,5
What is the answer to the who wants to be the milionare probability meme? [duplicate],Stacking_Flow,0,3
The proof of an edge-analogue of the Erdos-Posa theorem,combinatorics,0,9
Probability Distribution: Random lift stops,discrete-mathematics,0,1
"Finding rational $a$, $b$, $c$ such that $ \sqrt[3]{\sqrt[3]{2} - 1} = \sqrt[3]{a} + \sqrt[3]{b} + \sqrt[3]{c}. $",combinatorics-on-words,0,4
(A-λI) singular how?,Sandil Adhikari,0,1
PDE: Is the solution unique?,real-analysis,0,6
Spivak exercise 15 derivatives chapter,Ph Tom Liu Thin,0,3
Problem (exercise) books in commutative algebra [duplicate],geometry,0,4
"Why is ""true and false"" false?",integers,0,5
Interpreting/understanding the lambertW on Maple software,Jonincannon,0,3
How to calculate inverse of large matrix?,probability,0,3
Convergence of a series given that the series with a specific parentheses insertion converges,conditional-probability,0,1
Prove that $N_{G/N} (P N/N) = N_{G}(P)N/N$.,infinitesimals,0,2
Seemingly paradoxical logarithm manipulations inside strange gaussian like double integral,Juan,0,5
Ants on a 5-foot pole with a middle ant,probability,0,2
Image of conditional expectation in von Neumann algebra,TheFibonacciEffect,0,2
How to determine if a function is biased [closed],graph-theory,0,1
"Continuous injection of Lipschitz space into $W^{1, \infty}$",dilong,0,3
"Irrational Numbers and Surjection from $[0,1)$ to $[0,1)^2$",probability-distributions,0,5
Solving Intervals Problem Without Outer Measure,ZordXXL,0,1
Linear algebra books [closed],rational-numbers,0,4
VC classes of functions are Glivenko-Cantelli classes,roots-of-cubics,0,1
Does the vector space of differences of quantile functions have a neat characterization?,Yee Jian Lim,0,1
I need help with how to draw the mesh for the given question and noting down the interior points. [closed],linear-algebra,0,1
Weak version of the implicit function theorem,Gaurav Rajpurohit,0,3
Isotypical decomposition of a semisimple module,sequences-and-series,2,2
"Cardinality of Disjoint Sets, Interval Unions, and Schröder-Bernstein Theorem Clarification",ordinary-differential-equations,0,3
"Do we have $\mathcal O_Y(U)\cong k[X_1,\cdots,X_n]$?",analysis,0,2
Approximating a parameter involving limit and integral,partial-differential-equations,0,2
What is the midpoint of a half disk's diameter called? Can't find the answer anywhere else.,linear-pde,0,1
Recover an $L^1$ Integrand by Partial differentiation,geocalc33,0,1
"Confusion about taking arbitrary element from $\langle a^k \rangle$ to prove $\langle a^k \rangle=\langle a^{gcd(n,k)} \rangle$.",real-analysis,0,3
Proof that the sequence defined by the average of the last two terms is convergent.,real-analysis,0,2
An isomorphism between $V$ and $V^*$ induces an inner product on $V$,sequences-and-series,0,4
Set theory class 12 question,analysis,0,5
Solution to a Boundary Value Problem using Green's Function leads to a diverging integral,solution-verification,0,2
Normal bundle of a family of manifolds and its structures,proof-writing,0,2
That problem is to show how we prove the subgroup of quarterion group,martinkleins,0,8
Smallest possible value of k.,real-analysis,0,1
Understanding proof of the Krull's height theorem,inner-products,0,1
"Stalling's ""Topology of Finite Graphs"", question regarding the images of the induced homomorphisms",Mahtab,0,1
combinatorics / Counting problem,discrete-mathematics,0,1
Basis Minor Theorem Book in Shilov's Linear Algebra Book 1.93: why i≤r,Anonymous,0,1
Proving that there are infinitely many points on the unit circle such that the distance between any two of them is a rational number.,integration,0,3
Why can I integrate two differentials on the two side of an equation?,definite-integrals,0,2
Expected time to reach boundary for two i.i.d. random walks?,boundary-value-problem,3,1
Is $f^{-1}(A)$ always rigorously defined even when $A$ is a set not in the codomain?,greens-function,0,5
Applications of derivatives in real life question,Researcher R,3,1
Bounds on the ratio between second raw moment and expected of absolute value squared,differential-geometry,0,1
Doubt about the power of $x$ of the function to find that $f(x) = 3$ is an even function,manifolds,0,8
How to merge 2 multivariate Gaussians with different probabilities of occurring?,differential-topology,0,1
Understanding the Mathematics of 'The Game of Life' by John Conway and Cellular Automata,fiber-bundles,0,9
"Evaluating $\int_{0}^{1}\frac{\arctan(x)}{x^2+x+1}\,dx$",timaeus,0,3
Double sum of natural numbers squared,abstract-algebra,0,3
Central Limit Theorem Variant,Rukundo Jeannepo,0,2
Limit of 𝑥[3−cos($𝑥^2$)] using the epsilon-delta definition,algebra-precalculus,0,2
"Given, $\frac{f'(x)}{g'(x)}+f_1(x)\frac{f(x)}{g(x)}=f_2(x)\;\forall x\gt0$. Find $\lim_{x\to\infty}\frac{g'(x)}{f'(x)}$",inequality,0,2
Perceptron Convergence: Monotonically Approach Solution?,triangles,0,1
"In a planar embedding of a graph, can vertices lie on each other?",problem-solving,0,2
Doubt verification regarding tiling.,discriminant,0,1
Characterizing smooth functions in polar coordinates,tjun kit min,0,2
Why is a non-planar graph still non-planar after subdividing it?,commutative-algebra,0,2
Last step of an intense algorithm requiring efficiency: A closed form for $\sum_{s=2}^{\lfloor\frac{T}{2}\rfloor}{2s-1 \choose s-2}{T \choose T-2s}$?,krull-dimension,0,2
Complex eigenvalue of a linear transformation on a real vector space,Plantation,0,2
I am trying to reconcile various number properties with this scenario: a factored expression similar to 2(b+g) in a formula with a division operation,group-theory,0,9
Does $\sum_\rho R(x^\rho) \sim \sqrt{x}/\log(x)$ assume the Riemann hypothesis?,fundamental-groups,0,2
Prove that $\tau$ is a topology on $X$.,covering-spaces,0,3
Fractional iteration of the exponential map z <- exp(lambda (z - w)),numerical-methods,0,1
Why Can't Cubic Equation Have Fractional Solutions When Its Coefficients Are All Integers?,taylor-expansion,0,5
When is a freely contractible space also based contractible?,interpolation,3,1
how long does it take to guess 4 digit pin when you have all 4 numbers,fractional-iteration,0,5
Directly irreducible ring and central idempotents,Emanuel Landeholm,0,1
TV aspect ratio,algebra-precalculus,0,3
