Preguntas,Autores,Respuestas,Vistas
"$k(R(x),R(x+1)) = k(x)$ for a non-constant rational function $R(x)$",computational-complexity,0,1
How can I prove $\sigma(\Delta)=\sigma_{\mathrm{ess}}(\Delta)$?,integer-lattices,0,1
Generalized approximation for $\cos(ax)\\$ in the first and fourth quadrants [closed],np-complete,0,1
Proving that $\frac{\sin(t\theta)}{\sin(\theta)}\leq t$ for $t > 0$,geocalc33,2,6
Help me ask this confused question about the divergence of the harmonic series,abstract-algebra,0,9
How to solve this inequation? I dont know how to solve this problem [closed],field-theory,0,2
right objective for optimizing PSD matrix,orangeskid,0,8
Linear Optimization - Best algorithm?,functional-analysis,0,3
Find x and y for $11^x=5*2^y+1$,sobolev-spaces,0,6
Relationship between two functions in integral form,spectral-theory,0,3
Sum of Variance,laplacian,0,3
Coordinate system for the region between a circle and a square,MackeyTopology,0,1
Researchers in partial differential equations,trigonometry,0,2
Proving limits by definition [closed],approximation,0,1
Common Roots of Several Multivariate Polynomials with Integer Coefficients with an Additional Property: Their GCD is Linear when Some Variables Fixed,Phil Freedenberg,0,1
How to solve this limit involving the factorial function,real-analysis,0,5
Asymptotic Bound,trigonometry,0,3
Why do I get: $\cos((\frac1x)^4)\sin(x^6) = 0?$,Cartesian Bear,0,3
More examples of non-split algebraic groups,sequences-and-series,0,2
"Let $\pi:\mathcal{Y}\rightarrow \mathbb{C}$ be flat and with generic fiber $\mathbb{C}^*$, what variety could be the central fiber?",soft-question,0,1
question about proof of theorem of regularity,divergent-series,0,1
Series expansion for $\displaystyle{\psi(t+2)-\psi\left(\frac{t+3}{2}\right)}$,harmonic-numbers,0,1
Extremal problems for (non-convex) polygons on hexagonal lattices,MJD,0,5
Gaussian Elimination with linear combination solution,inequality,0,2
Transformations of probability distributions?,Chien Nguyen,0,2
Combinatorics Question on breakdown of boats [closed],optimization,0,2
"Is it possible to construct a precise regular pentagon with just a straightedge (no compass)? If yes, then how?",nonlinear-optimization,0,2
Pigeon-Hole Principle Problem: Several Visitors to a Mathematics Library,MRm,0,2
A singular average integral,optimization,0,1
"Let R be the region bounded by the graph of f(x) and the x -axis on the interval [a,b]. If f(x) is positive on the interval [a,b], then",muosac,0,2
How can I show this improper integral?,linear-algebra,0,3
The Legendre Conjecture,exponentiation,0,3
Operator equation $Ax-\lambda x=h$,Ionela Buciu,0,2
Area Calculation By definite integrals [closed],real-analysis,0,2
analyzing a particular function,integration,0,2
Projective module base change,functions,2,1
Disjoint union of topological space is subspace,definite-integrals,0,3
